id,sunday_weeknum,sunday_name,sunday_first_reading,sunday_first_audio,sunday_second_reading,sunday_second_audio,sunday_alleluia_verse,sunday_alleluia_audio,sunday_responsorial_psalm,sunday_responsorial_audio,sunday_gospel,sunday_gospel_audio,sunday_before_gospel,sunday_before_gospel_audio,sunday_cycle_type,sunday_reading_type,sunday_description
13,13,13th Sunday in Ordinary Time - A,2 Kgs 4:8-11,,Rom 6:3-4,,1 Peter 2:9,,Ps 89:2-3,,Matt 10:37-42,,,,A,ordinary,[Peter & Paul in 2014]
14,14,14th Sunday in Ordinary Time - A,Zech 9:9-10,,Rom 8:9,,cf. Matt 11:25,,Ps 145:1-2,,Matt 11:25-30,,,,A,ordinary,
15,15,15th Sunday in Ordinary Time - A,Isa 55:10-11,,Rom 8:18-23,,no bible reference,,Ps 65:10,,Matt 13:1-23,,,,A,ordinary,
16,16,16th Sunday in Ordinary Time - A,Wis 12:13,,Rom 8:26-27,,cf. Matt 11:25,,Ps 86:5-6,,Matt 13:24-43,,,,A,ordinary,
17,17,17th Sunday in Ordinary Time - A,1 Kgs 3:5,,Rom 8:28-30,,cf. Matt 11:25,,Ps 119:57+72,,Matt 13:44-52,,,,A,ordinary,
18,18,18th Sunday in Ordinary Time - A,Isa 55:1-3,,Rom 8:35,,Matt 4:4b,,Ps 145:8-9,,Matt 14:13-21,,,,A,ordinary,
19,19,19th Sunday in Ordinary Time - A,1 Kgs 19:9a,,Rom 9:1-5,,cf. Psalm 130:5,,Ps 85:9ab+10,,Matt 14:22-33,,,,A,ordinary,
20,20,20th Sunday in Ordinary Time - A,Isa 56:1,,Rom 11:13-15,,cf. Matt 4:23,,Ps 67:2-3,,Matt 15:21-28,,,,A,ordinary,
21,21,21st Sunday in Ordinary Time - A,Isa 22:19-23,,Rom 11:33-36,,Matt 16:18,,Ps 138:1-2a,,Matt 16:13-20,,,,A,ordinary,
22,22,22nd Sunday in Ordinary Time - A,Jer 20:7-9,,Rom 12:1-2,,cf. Eph 1:17-18,,Ps 63:2,,Matt 16:21-27,,,,A,ordinary,
23,23,23rd Sunday in Ordinary Time - A,Ezek 33:7-9,,Rom 13:8-10,,2 Cor 5:19,,Ps 95:1-2,,Matt 18:15-20,,,,A,ordinary,
24,24,24th Sunday in Ordinary Time - A,Sir 27:30-28:7,,Rom 14:7-9,,John 13:34,,Ps 103:1-2,,Matt 18:21-35,,,,A,ordinary,[Holy Cross in 2014]
25,25,25th Sunday in Ordinary Time - A,Isa 55:6-9,,Phil 1:20c-24,,cf. Act 16:14b,,Ps 145:2-3,,Matt 20:1-16a,,,,A,ordinary,
26,26,26th Sunday in Ordinary Time - A,Ezek 18:25-28,,Phil 2:1-11,,John 10:27,,Ps 25:4-5,,Matt 21:28-32,,,,A,ordinary,
27,27,27th Sunday in Ordinary Time - A,Isa 5:1-7,,Phil 4:6-9,,cf. John 15:16,,Ps 80:9+12,,Matt 21:33-43,,,,A,ordinary,
28,28,28th Sunday in Ordinary Time - A,Isa 25:6-10a,,Phil 4:12-14,,cf. Eph 1:17-18,,Ps 23:1-3a,,Matt 22:1-14,,,,A,ordinary,
29,29,29th Sunday in Ordinary Time - A,Isa 45:1,,1 Thess 1:1-5b,,Phil 2:15d-16a,,Ps 96:1+3,,Matt 22:15-21,,,,A,ordinary,
30,30,30th Sunday in Ordinary Time - A,Exod 22:20-26,,1 Thess 1:5c-10,,John 14:23,,Ps 18:2-3a,,Matt 22:34-40,,,,A,ordinary,
31,31,31st Sunday in Ordinary Time - A,Mal 1:14b-2:2b,,1 Thess 2:7b-9,,Matt 23:9b+10b,,Ps 131:1,,Matt 23:1-12,,,,A,ordinary,[All Souls in 2014]
32,32,32nd Sunday in Ordinary Time - A,Wis 6:12-16,,1 Thess 4:13-18,,Matt 24:42a+44,,Ps 63:2,,Matt 25:1-13,,,,A,ordinary,[Ded. Lateran in 2014]
33,33,33rd Sunday in Ordinary Time - A,Prov 31:10-13,,1 Thess 5:1-6,,John 15:4a+5b,,Ps 128:1-2,,Matt 25:14-30 ,,,,A,ordinary,
34,34,34th or Last Sunday in Ordinary Time - A,Ezek 34:11-12,,1 Cor 15:20-26,,Mark 11:9b+10a,,Ps 23:1-2a,,Matt 25:31-46,,,,A,ordinary,:The Solemnity of Our Lord Jesus Christ the King
35,1,The Feast of the Baptism of the Lord - B,Isa 55:1-11,,1 John 5:1-9 ,,cf. John 1:29,,Isa 12:2-3,,Mark 1:7-11,,,,B,ordinary,[begin 1st Week in Ordinary Time]
36,2,2nd Sunday in Ordinary Time - B,1 Sam 3:3b-10,,"1 Cor 6:13c-15a, 17-20",,John 1:41+17b,,Ps 40:2+4,,John 1:35-42,,,,B,ordinary,
37,3,3rd Sunday in Ordinary Time - B,Jon 3:1-5,,1 Cor 7:29-31,,Mark 1:15,,Ps 25:4-5,,Mark 1:14-20,,,,B,ordinary,
38,4,4th Sunday in Ordinary Time - B,Deut 18:15-20,,1 Cor 7:32-35,,Matt 4:16,,Ps 95:1-2,,Mark 1:21-28,,,,B,ordinary,
39,5,5th Sunday in Ordinary Time - B,Job 7:1-4,,"1 Cor 9:16-19, 22-23",,Matt 8:17,,Ps 147:1-2,,Mark 1:29-39,,,,B,ordinary,
40,6,6th Sunday in Ordinary Time - B,Lev 13:1-2,,1 Cor 10:31-11:1,,Luke 7:16,,Ps 32:1-2,,Mark 1:40-45,,,,B,ordinary,
41,7,7th Sunday in Ordinary Time - B,Isa 43:18-19,,2 Cor 1:18-22,,cf. Luke 4:18,,Ps 41:2-3,,Mark 2:1-12,,,,B,ordinary, [2015:omitted]
42,8,8th Sunday in Ordinary Time - B,Hos 2:16b,,2 Cor 3:1b-6,,James 1:18,,Ps 103:1-2,,Mark 2:18-22,,,,B,ordinary, [2015:Pentecost Sunday]
43,9,9th Sunday in Ordinary Time - B,Deut 5:12-15,,2 Cor 4:6-11,,cf. John 17:17b+a,,Ps 81:3-4,,Mark 2:23-3:6,,,,B,ordinary,[2015:Most Holy Trinity]
44,10,10th Sunday in Ordinary Time - B,Gen 3:9-15,,2 Cor 4:13-5:1,,John 12:31b-32,,Ps 130:1-2,,Mark 3:20-35,,,,B,ordinary,[2015:Corpus Christi]
45,11,11th Sunday in Ordinary Time - B,Ezek 17:22-24,,2 Cor 5:6-10,,no bible reference,,Ps 92:2-3,,Mark 4:26-34,,,,B,ordinary,
